claim_id,policy_id,claim_date,amount,status
CLM0004916,POL003710,2024-10-21,71656.48,DENIED
CLM0008979,POL001534,2026-03-18,73776.2,OPEN
CLM0003569,POL002414,2024-06-06,51878.85,open
CLM0002583,POL003136,2026-02-27,51462.99,CLOSED
CLM0005980,POL004831,2025-12-16,65593.71,CLOSED
CLM0010171,POL001034,2026-04-02,41859.99,IN REVIEW
CLM0004253,POL004855,2026-04-20,26483.61,IN REVIEW
CLM0011495,POL003389,2025-12-10,42148.65,CLOSED
CLM0006244,POL004009,2024-09-13,14658.69,DENIED
CLM0003770,POL001959,2026-07-12,37263.64,OPEN
CLM0004883,POL000830,2025-07-12,32039.72,OPEN
CLM0001316,POL001921,2024-10-27,59624.8,OPEN
CLM0003215,POL000735,2025-12-21,69246.91,OPEN
CLM0007966,POL002965,2025-09-02,53608.34,DENIED
CLM0002886,POL004247,2025-05-09,11295.48,DENIED
CLM0009901,POL000043,2025-08-12,42997.76,DENIED
CLM0010720,POL001653,2025-07-16,4429.06,DENIED
CLM0002289,POL004001,2025-03-24,4730.39,DENIED
CLM0009751,POL000955,2025-11-05,1182.47,OPEN
CLM0004983,POL001781,2025-07-07,78352.3,OPEN
CLM0005884,POL003309,2024-06-12,21235.09,OPEN
CLM0008308,POL002268,2025-01-18,19863.05,OPEN
CLM0007826,POL004690,2025-08-24,62097.9,IN REVIEW
CLM0002784,POL003808,2025-07-10,1740.69,DENIED
CLM0004710,POL000268,2026-03-09,21818.13,closed
CLM0001423,POL000330,2026-02-04,42670.31,  DENIED 
CLM0006636,POL003914,2024-11-13,35594.16,  OPEN 
CLM0003605,POL000219,2024-06-12,49673.96,DENIED
CLM0007730,POL000037,2024-06-20,42913.8,CLOSED
CLM0008237,POL004361,2025-07-24,42054.6,DENIED
CLM0003070,POL004213,2024-06-04,52679.91,IN REVIEW
CLM0007038,POL002758,2025-10-10,53639.86,  IN REVIEW 
CLM0003888,POL002739,2025-01-06,74533.04,OPEN
CLM0007162,POL004527,2026-06-03,4145.2,  IN REVIEW 
CLM0002109,POL001419,2025-11-16,76098.7,IN REVIEW
CLM0003688,POL002235,2026-07-19,60198.25,DENIED
CLM0008431,POL001906,2026-05-22,24576.78,OPEN
CLM0007300,POL002820,2025-02-19,23880.32,DENIED
CLM0002644,POL004432,2026-05-22,21531.22,OPEN
CLM0002944,POL000714,2024-06-28,66283.3,IN REVIEW
CLM0010545,POL002338,2025-01-04,41129.32,DENIED
CLM0008823,POL001862,31/12/2025,44846.66,CLOSED
CLM0003682,POL002538,2026-05-23,25283.69,IN REVIEW
CLM0004797,POL004718,2026-02-24,30443.58,OPEN
CLM0005537,POL003938,2026-06-29,24874.01,CLOSED
CLM0001497,POL000225,2025-06-21,2943.66,IN REVIEW
CLM0008043,POL003642,2025-06-16,19635.29,DENIED
CLM0001003,POL000895,2024-07-14,36775.12,CLOSED
CLM0005607,POL000462,2025-02-06,3325.84,DENIED
CLM0003893,POL004054,2026-02-19,12917.28,CLOSED
CLM0009104,POL002878,2026-04-16,35950.85,OPEN
CLM0011062,POL004160,2024-10-13,58185.54,DENIED
CLM0003421,POL002138,2024-12-05,60462.49,CLOSED
CLM0001338,POL004723,2026-05-18,40973.14,OPEN
CLM0008090,POL000695,2026-01-22,14071.17,OPEN
CLM0005874,POL003235,2025-09-05,18934.68,CLOSED
CLM0002007,POL002799,2026-01-21,44609.44,DENIED
CLM0010997,POL004991,2025-10-20,45562.27,OPEN
CLM0008993,POL002509,2026-07-16,61167.1,denied
CLM0008466,POL004136,2026-06-26,78229.83,CLOSED
CLM0006580,POL002151,2024-08-16,15506.55,DENIED
CLM0008692,POL003749,0000-00-00,20063.07,IN REVIEW
CLM0001291,POL004149,2025-02-28,50903.2,IN REVIEW
CLM0002999,POL000064,2025-02-28,17465.14,OPEN
CLM0011851,POL003835,2025-12-18,57550.13,IN REVIEW
CLM0006784,POL001494,2026-05-17,64361.17,CLOSED
CLM0006061,POL002818,2024-11-19,3224.65,DENIED
CLM0001737,POL003405,2024-08-30,9999999.99,DENIED
CLM0001521,POL001021,2024-09-24,48666.24,CLOSED
CLM0004625,POL001333,2025-04-19,72798.42,CLOSED
CLM0004970,POL000260,2025-08-13,14512.59,DENIED
