policy_id,broker_id,product,start_date,end_date,premium,status,extract_date
POL000851,BRK0042,General Liability,2024-08-28,2025-08-28,7970.36,CANCELLED,2026-08-15
POL003320,BRK0019,Cyber,2025-04-19,2026-04-19,3101.23,CANCELLED,2026-08-15
POL001950,BRK0015,Cyber,2026-04-16,2027-04-16,1737.92,RENEWED,2026-08-15
POL004991,BRK0044,general liability,2026-03-02,2027-03-02,13765.15,ACTIVE,2026-08-15
POL000351,BRK0046,Property,2024-01-13,2025-01-12,13313.63,CANCELLED,2026-08-15
POL001581,BRK0007,Cyber,2025-04-20,2026-04-20,2289.84,RENEWED,2026-08-15
POL001136,BRK0016,Marine,2024-05-01,2025-05-01,15916.04,CANCELLED,2026-08-15
POL004385,BRK0034,General Liability,2024-10-06,2025-10-06,25769.85,ACTIVE,2026-08-15
POL002979,BRK0005,General Liability,2024-01-28,2025-01-27,6144.79,ACTIVE,2026-08-15
POL004954,BRK0014,Cyber,2024-06-05,2025-06-05,21254.87,ACTIVE,2026-08-15
POL002939,BRK0001,Marine,2024-03-08,2025-03-08,2246.66,RENEWED,2026-08-15
POL004795,BRK0047,Cyber,2026-02-21,2027-02-21,10725.23,CANCELLED,2026-08-15
POL002313,BRK0021,General Liability,2024-07-18,2025-07-18,15404.45,CANCELLED,2026-08-15
POL000869,BRK0043,Cyber,2025-06-18,2026-06-18,22171.84,LAPSED,2026-08-15
POL000231,BRK0003,Commercial Auto,2026-06-16,2027-06-16,8708.53,RENEWED,2026-08-15
POL000136,BRK0039,Marine,2025-05-12,2026-05-12,8956.73,ACTIVE,2026-08-15
POL003384,BRK0045,Marine,2025-12-02,2026-12-02,17919.09,LAPSED,2026-08-15
POL001765,BRK0012,General Liability,2024-07-11,2025-07-11,20982.99,CANCELLED,2026-08-15
POL002674,BRK0030,Marine,2024-12-13,2025-12-13,6463.18,CANCELLED,2026-08-15
POL002329,BRK0018,Property,2025-03-22,2026-03-22,13049.56,ACTIVE,2026-08-15
POL000151,BRK0022,Commercial Auto,2026-04-10,2027-04-10,11225.08,RENEWED,2026-08-15
POL003535,BRK0042,Marine,2024-02-17,2025-02-16,12586.97,LAPSED,2026-08-15
POL001819,BRK0005,General Liability,2025-11-03,2026-11-03,7048.47,CANCELLED,2026-08-15
POL001191,BRK0047,Marine,2024-11-04,2025-11-04,1573.37,LAPSED,2026-08-15
POL004942,BRK0003,Commercial Auto,2025-01-31,2026-01-31,4230.1,ACTIVE,2026-08-15
POL000509,BRK0040,General Liability,2024-08-14,2025-08-14,21380.15,RENEWED,2026-08-15
